0,1,2,3,4,5,6,7,8,9,10,11,12
0,87.345,174.69,262.035,349.38,436.725,524.07,611.415,698.76,786.105,873.45,960.795,1048.14
0,15.99173326,54.75861953,116.3006588,200.6178511,307.7101964,437.5776947,590.220346,765.6381504,963.8311077,1184.799218,1428.542481,1695.060898
0,108.0669297,314.8053714,620.215325,1024.29679,1527.049768,2128.474257,2828.570259,3627.337772,4524.776797,5520.887334,6615.669383,7809.122944
0,203.51634,417.8734013,643.0711838,879.1096876,1125.988913,1383.708859,1652.269527,1931.670915,2221.913025,2522.995857,2834.919409,3157.683683
0,111.7001676,269.6785235,473.9350677,724.4698001,1021.282721,1364.37383,1753.743127,2189.390612,2671.316286,3199.520148,3774.002199,4394.762437
0,22.22685248,59.86422472,112.9121167,181.3705285,265.2394599,364.5189112,479.2088822,609.3093729,754.8203835,915.7419137,1092.073964,1283.816533
0,15.25354621,44.32164099,87.20428434,143.9014763,214.4132168,298.7395058,396.8803435,508.8357297,634.6056644,774.1901478,927.5891797,1094.80276
0,15.25354621,44.32164099,87.20428434,143.9014763,214.4132168,298.7395058,396.8803435,508.8357297,634.6056644,774.1901478,927.5891797,1094.80276
0,77.64,155.28,232.92,310.56,388.2,465.84,543.48,621.12,698.76,776.4,854.04,931.68
0,14.21487401,48.67432847,103.3783634,178.3269788,273.5201746,388.9579509,524.6403076,680.5672448,856.7387624,1053.154861,1269.815539,1506.720798
0,44.37319131,133.6465122,267.8199627,446.8935427,670.8672524,939.7410916,1253.51506,1612.189159,2015.763387,2464.237744,2957.612231,3495.886848
0,132.0891277,276.2785375,432.5682292,600.958203,781.4484589,974.0389967,1178.729817,1395.520919,1624.412302,1865.403968,2118.495916,2383.688146
0,104.2630446,236.1156761,395.5578946,582.5897,797.2110924,1039.422072,1309.222638,1606.612791,1931.592531,2284.161858,2664.320772,3072.069273
0,18.14305513,49.38198725,93.71679635,151.1474824,221.6740455,305.2964856,402.0148027,511.8289967,634.7390677,770.7450158,919.8468408,1082.044543
0,12.66380977,37.05845685,73.18394124,121.0402629,180.6274219,251.9454182,334.9942518,429.7739227,536.2844309,654.5257765,784.4979593,926.2009794
0,12.66380977,37.05845685,73.18394124,121.0402629,180.6274219,251.9454182,334.9942518,429.7739227,536.2844309,654.5257765,784.4979593,926.2009794
0,97.05,194.1,291.15,388.2,485.25,582.3,679.35,776.4,873.45,970.5,1067.55,1164.6
0,17.76859251,60.84291059,129.2229542,222.9087234,341.9002182,486.1974386,655.8003845,850.709056,1070.923453,1316.443576,1587.269424,1883.400998
0,171.7606682,495.9642306,972.6106873,1601.700038,2383.232283,3317.207423,4403.625457,5642.486385,7033.790207,8577.536923,10273.72653,12122.35904
0,274.9435523,559.4682651,853.5741384,1157.261172,1470.529366,1793.378721,2125.809237,2467.820912,2819.413749,3180.587745,3551.342902,3931.67922
0,119.1372907,303.2413709,552.3122408,866.3499002,1245.354349,1689.325588,2198.263616,2772.168434,3411.040041,4114.878438,4883.683625,5717.455601
0,26.31064984,70.3464622,132.1074371,211.5935745,308.8048744,423.7413368,556.4029617,706.7897492,874.9016992,1060.738812,1264.301087,1485.588524
0,17.84328264,51.58482512,101.2246274,166.7626896,248.1990116,345.5335934,458.7664351,587.8975366,732.9268979,893.8545191,1070.6804,1263.404541
0,17.84328264,51.58482512,101.2246274,166.7626896,248.1990116,345.5335934,458.7664351,587.8975366,732.9268979,893.8545191,1070.6804,1263.404541
