,Linear Coeff Mean,Quad Coeff Mean,Linear Coeff Std Error,Quad Coeff Std Error,Linear Coeff Std Dev,Quad Coeff Std Dev
1975.0,171.01973474308593,0.0,0.8471917389071872,0.0,26.777156470210038,0.0
1976.0,85.11874153153025,5.1942594655994085,1.5948473382901598,0.09515146056354667,50.408278034651765,3.0074485277272496
1977.0,43.96239813466408,7.744838452246391,1.1621374536130746,0.07082126513963649,36.73163347346795,2.23844498355057
1978.0,23.593094486035827,9.022159970519438,0.7283284122288334,0.045255767887615414,23.020247908823954,1.4303973023501633
1979.0,13.737303975373575,9.60053862081043,0.4288193846086527,0.028997177550211573,13.55367767624446,0.9165126674370713
1980.0,4.3900686570452105,10.18124037478145,0.10208999538285586,0.006887917730706202,3.2267545289523123,0.21770614886656714
1981.0,0.2551993195884443,16.32957180037527,0.1006766099569564,0.10797837557671432,3.1820817105524974,3.4128683336152577
1982.0,-1.9685419692253308,19.414073152568587,0.06932502731045702,0.08091465448458382,2.1911534524501053,2.5574663495438643
1983.0,-3.0759288680585377,20.88993669370612,0.044248913593091146,0.05608556517326626,1.398573697670122,1.7726942855957684
1984.0,-3.6061440760764465,21.65336265505192,0.028490655448769983,0.03433333712105598,0.9005030430002033,1.0851724562622354
1985.0,-3.8735202285427213,21.99846321441675,0.019328672314103984,0.022766187543739446,0.6109205970112515,0.7195700077000433
1986.0,-4.021997453044233,22.186689431499815,0.011991035112647607,0.0158330555749757,0.37900018225546417,0.5004347741628562
1987.0,-4.09504719789073,22.28920446493572,0.007361305001728374,0.008607570256925936,0.23266848200205953,0.272059139640976
1988.0,-4.131046111785056,22.345779704310168,0.004403384175233658,0.005121242671819635,0.13917759303315858,0.16186691872387837
1989.0,-4.148202343650095,22.371395345367258,0.0029370103039260123,0.0034658961474467944,0.09282997089217576,0.10954644525853699
1990.0,-4.165628692504016,22.397994461483258,0.0002895699418693633,3.537670186561939e-05,0.009152425934307921,0.0011181500453221963
1991.0,75.23121478488125,20.118382960168777,1.4096852315493402,0.04222099154246827,44.555866500341665,1.3344772439807089
1992.0,113.11311055500312,18.967549172564627,1.0647019911267686,0.03259613422177862,33.651994585453565,1.0302647515265204
1993.0,132.18582801835169,18.362281082009247,0.7003387356902556,0.02221436284482431,22.13557928682955,0.702128505819917
1994.0,140.86198743310203,18.047226233195957,0.4636519639507903,0.013711531549451301,14.654629662047059,0.433379846479006
1995.0,145.65881049653285,17.905622795601463,0.2934171850208063,0.00862844234328217,9.274025599547834,0.2727188428658229
1996.0,148.1081983601147,17.831244777731442,0.16973415855856708,0.005587007865725853,5.364780973814606,0.17658834116325706
