,Linear Coeff Mean,Quad Coeff Mean,Linear Coeff Std Dev,Quad Coeff Std Dev
1975.0,170.08675389767416,0.0,27.459209330573476,0.0
1976.0,85.23482046803892,5.244557666849093,51.51538636786727,2.9358941861241634
1977.0,45.028231821987234,7.6537572993211365,38.76990247321271,2.211991820115323
1978.0,25.035883798021185,8.891279597696778,25.18605479818469,1.5049278331746179
1979.0,14.672095193487433,9.531234949357724,15.899921665988243,0.9727339311968914
1980.0,4.3634056009952165,10.171888620724625,3.2104988351492696,0.22944522123363387
1981.0,0.732257798033799,23.967028607440284,2.708721588738219,7.850121531007305
1982.0,-0.9425076421967765,30.85183479022004,1.778490762685698,6.061390613680736
1983.0,-1.8034563417332639,34.186391103721036,1.0207692559573713,4.3095733686543225
1984.0,-2.1947640842958034,35.9328304336053,0.6219998877253815,2.717290205980675
1985.0,-2.3949229768158102,36.85389170328186,0.36236870842481267,1.491896017807074
1986.0,-2.4817597113721033,37.25902676871435,0.25151156162812427,1.0073259445142135
1987.0,-2.5379436868325502,37.47826063903485,0.15018075330117744,0.6681498573682492
1988.0,-2.564022490206549,37.5929531096925,0.09398850614413998,0.306750820127491
1989.0,-2.5780758342682613,37.64613843886471,0.052373758831653336,0.17268915666057968
1990.0,-2.591930879466469,37.696564815558865,0.00852391857744893,0.0015823876303241535
1991.0,118.51470045311686,26.235798082784466,74.51803266232595,6.562401930241389
1992.0,189.61695264365932,20.528069722096088,56.3586869305907,4.835709529091434
1993.0,221.58792948399577,17.707768080815757,37.99459757183397,3.2401869328648236
1994.0,236.7194481049345,16.287923321532034,24.453222305819036,1.9850237592254425
1995.0,244.36571736014778,15.585169042951351,14.906308798323916,1.1414165116252377
1996.0,248.36675362447883,15.239585651039024,9.36344135395366,0.7362449602930197
1997.0,250.6034341866314,15.045121252814674,5.138534343002037,0.4562010771302267
1998.0,251.48636915282458,14.955155173635198,2.890693242333573,0.26687273333872186
1999.0,252.42159777100693,14.868435396130328,0.2896521161419865,0.042017816349268544
2000.0,128.69498742548345,16.66832471756306,71.2057004284105,1.059128228559141
2001.0,69.94626553587304,17.624728574902488,54.66758892920502,0.7967124971274342
2002.0,39.84627499515955,18.080389911659868,35.84156093219011,0.4979515489064082
2003.0,24.170912198767184,18.297865760199507,22.148320742864332,0.3207846947953698
2004.0,16.8106167079691,18.398123341175552,14.27091228783561,0.21681893588761775
2005.0,12.737632614119383,18.454030928800893,8.208510000509076,0.1371501369755664
2006.0,10.819588624431805,18.4818851091572,4.680037798636618,0.08550812197449476
2007.0,9.907524079622561,18.498360385818668,2.9304322248446426,0.03992150423983844
2008.0,9.38305205925218,18.505029345867996,1.5363744362959355,0.02128932643997054
2009.0,8.921833022948178,18.510952674138068,0.1821329272270501,0.012009746538166636
2010.0,-29.55213524540545,17.728896072414784,21.29200597888562,0.4413455431345209
2011.0,-47.80694740871024,17.348609480391183,16.5362974064778,0.3341201609516878
2012.0,-57.43733260403578,17.159319703456887,9.977902895650502,0.22537013239413817
2013.0,-61.54352408523333,17.06322373202804,6.24178293918359,0.15182375255636937
2014.0,-63.60400930305394,17.014960408751875,3.9579077357799273,0.09266424909891331
2015.0,-64.63527357087047,16.99041379837126,2.448144205798345,0.06054429312964123
2016.0,-65.20926413452003,16.978738180903875,1.2588409221821195,0.04880522938822748
2017.0,-65.72066763824907,16.96590992120266,0.5709712820052697,0.0325406031114144
2018.0,-64.49158055065817,16.544615861799397,0.848832980651156,0.24396594421393458
2019.0,-63.82482348102026,16.335593808900185,0.703681448053949,0.18478924791868495
2020.0,-63.1795030407159,16.13109574962146,0.5420620288290817,0.029711249714051865
2021.0,-62.33207541584451,15.542995537033539,0.6194147755323836,0.34354663202482905
2022.0,-61.90890070470117,15.253114386990703,0.5240603719825631,0.2511043306032682
2023.0,-61.70515197017048,15.113663928444636,0.48491288355710377,0.1658966411672091
2024.0,-61.596354422913194,15.044550294703761,0.46010408207010894,0.10508647090007395
2025.0,-61.48515249182189,14.976720546201955,0.46264615777586365,0.02775390049338403
2026.0,-61.48515249182189,14.976720546201955,0.46264615777586365,0.02775390049338403
2027.0,-61.48515249182189,14.976720546201955,0.46264615777586365,0.02775390049338403
2028.0,-61.48515249182189,14.976720546201955,0.46264615777586365,0.02775390049338403
2029.0,-61.48515249182189,14.976720546201955,0.46264615777586365,0.02775390049338403
2030.0,-61.48515249182189,14.976720546201955,0.46264615777586365,0.02775390049338403
2031.0,-61.48515249182189,14.976720546201955,0.46264615777586365,0.02775390049338403
2032.0,-61.48515249182189,14.976720546201955,0.46264615777586365,0.02775390049338403
2033.0,-61.48515249182189,14.976720546201955,0.46264615777586365,0.02775390049338403
2034.0,-61.48515249182189,14.976720546201955,0.46264615777586365,0.02775390049338403
2035.0,-61.48515249182189,14.976720546201955,0.46264615777586365,0.02775390049338403
2036.0,-61.48515249182189,14.976720546201955,0.46264615777586365,0.02775390049338403
2037.0,-61.48515249182189,14.976720546201955,0.46264615777586365,0.02775390049338403
2038.0,-61.48515249182189,14.976720546201955,0.46264615777586365,0.02775390049338403
2039.0,-61.48515249182189,14.976720546201955,0.46264615777586365,0.02775390049338403
2040.0,-61.48515249182189,14.976720546201955,0.46264615777586365,0.02775390049338403
2041.0,-61.48515249182189,14.976720546201955,0.46264615777586365,0.02775390049338403
2042.0,-61.48515249182189,14.976720546201955,0.46264615777586365,0.02775390049338403
2043.0,-61.48515249182189,14.976720546201955,0.46264615777586365,0.02775390049338403
2044.0,-61.48515249182189,14.976720546201955,0.46264615777586365,0.02775390049338403
