cumulativeCost,dMPG,dMPG2
7.5,0.608,0.369664
12.0,0.832,0.692224
67.5,1.92,3.6864
142.5,2.88,8.2944
201.0,3.6159999999999997,13.075455999999997
265.5,4.4159999999999995,19.501055999999995
330.0,5.183999999999999,26.873855999999993
394.5,5.887999999999999,34.66854399999999
526.5,7.167999999999999,51.38022399999999
565.5,7.4879999999999995,56.07014399999999
652.5,8.128,66.064384
877.5,9.728,94.633984
1027.5,10.687999999999999,114.23334399999997
1177.5,11.648,135.675904
1320.0,12.416,154.157056
1426.5,12.928,167.13318400000003
1606.5,13.792000000000002,190.21926400000004
1665.0,14.064000000000002,197.79609600000006
1840.5,14.864000000000003,220.93849600000007
2076.0,15.888000000000002,252.42854400000004
2826.0,19.088,364.35174400000005
3144.0,20.240000000000002,409.65760000000006
3435.0,21.104000000000003,445.37881600000014
3523.5,21.360000000000003,456.2496000000001
3748.5,22.000000000000004,484.00000000000017
3975.0,22.640000000000004,512.5696000000002
4267.5,23.440000000000005,549.4336000000002
4416.0,23.824000000000005,567.5829760000003
4684.5,24.464000000000006,598.4872960000002
5146.5,25.552000000000007,652.9047040000004
5371.5,26.064000000000007,679.3320960000003
5502.0,26.320000000000007,692.7424000000004
5676.0,26.592000000000006,707.1344640000003
7218.0,28.928000000000004,836.8291840000003
8076.0,29.840000000000003,890.4256000000003
9637.5,31.440000000000005,988.4736000000003
10117.5,31.920000000000005,1018.8864000000003
10230.0,32.016000000000005,1025.0242560000004
11946.0,32.787200000000006,1075.0004838400005
12867.0,33.171200000000006,1100.3285094400003
14896.5,33.92320000000001,1150.7834982400007
18720.0,34.71040000000001,1204.8118681600006
18700.5,35.510400000000004,1260.9885081600003
