,Linear Coeff Mean,Quad Coeff Mean,Linear Coeff Std Error,Quad Coeff Std Error,Linear Coeff Std Dev,Quad Coeff Std Dev
1975.0,169.03425504435978,0.0,0.8481739423376082,0.0,26.808200935983372,0.0
1976.0,89.6486510897471,4.955141794711757,1.592015654011601,0.09244151841967338,50.3187770993629,2.9217954913729116
1977.0,48.019300891721706,7.5749431772080005,1.2695860981560299,0.06901001377570756,40.12775861882172,2.1811968318613575
1978.0,25.836402554511753,8.928565874140487,0.842391644548818,0.04677650466295535,26.625440073787633,1.4784631706927973
1979.0,14.75944815032031,9.560911528591266,0.5093592354539977,0.02862418784347086,16.099297621683338,0.9047235962262765
1980.0,4.462289473410107,10.179941369179442,0.10628208950877088,0.007018631837870247,3.359253885582338,0.22183762458764816
1981.0,0.9187818897430964,24.32025241419452,0.08470136425762861,0.25050624981408504,2.6771527386378953,7.917741332900493
1982.0,-0.7466039389669541,30.855248568439848,0.056603086348585234,0.18513754645591662,1.7890515573345587,5.851635258336679
1983.0,-1.5853817732148523,34.11423962901323,0.035903543011431664,0.12571560157018985,1.134801893007299,3.9734881484253313
1984.0,-1.9905880098823885,35.907526408557295,0.022084939190972014,0.07806203938170955,0.6980378174066664,2.46730385450174
1985.0,-2.1923763648193173,36.71830157917912,0.013344618034328442,0.05103352083325545,0.4217828252212763,1.6130145158645286
1986.0,-2.2954940683978418,37.16578551130974,0.007487815001015807,0.030738928908538774,0.23666707864835768,0.9715641351417603
1987.0,-2.351134128393233,37.38603583182631,0.00414314894568555,0.01942475312071343,0.1309523482147195,0.6139574193434472
1988.0,-2.3761002861429983,37.484851201681096,0.002168999637663715,0.01251073628582415,0.06855548751746383,0.3954263571020824
1989.0,-2.3889099869827506,37.54987851167524,0.0012875355457337351,0.005685668291758929,0.04069508611302278,0.17970669742663736
1990.0,-2.4002976809361507,37.60472329884472,0.00026545694361945445,5.175472836235616e-05,0.008390287332795369,0.0016358096942961952
1991.0,124.90109397711413,26.282238487658425,2.3061646356221153,0.20875714259506165,72.89085629396523,6.5981789184494275
1992.0,188.48234703396486,20.721925203905364,1.772144957921918,0.16386646116049589,56.012117029587344,5.179320889476828
1993.0,221.23664677887095,17.82373811351554,1.1348950176187333,0.11265290208135939,35.870582854406045,3.5606159117496783
1994.0,236.74077497048862,16.32809646119275,0.6919037255842165,0.06965227431762747,21.868974249192426,2.20149673592772
1995.0,244.42714522436017,15.647234739087697,0.4090680231534844,0.043245105198140545,12.929397159927175,1.3668463646199025
1996.0,248.1994856578884,15.261881120126187,0.2613828952374457,0.024995161627223945,8.261519043419725,0.7900211052030681
1997.0,250.15983412205867,15.06274138612947,0.15811652421041372,0.01512383794471365,4.99758285505643,0.47801855999927706
1998.0,251.1884272580178,14.975610372681393,0.08075697642102588,0.010561066179981567,2.5524826250976638,0.3338032095997468
1999.0,252.06810490661098,14.875654725410483,0.008789040022333085,0.0013505947402718428,0.27779484748579947,0.04268819563178464
2000.0,132.46057331870426,16.615200878818886,2.26480466404623,0.033351157510169295,71.58359327471115,1.0541287433519937
2001.0,72.17625112584449,17.54953597672962,1.7601577571722626,0.025359705136492456,55.63323803989442,0.8015432177775768
2002.0,41.23778339225889,18.0191177060655,1.1894818206978193,0.01674504984001525,37.59590582455526,0.5292601415659886
2003.0,24.928914192365948,18.247450189983425,0.7197198904342285,0.011071487376012995,22.74815869396842,0.3499360725682591
2004.0,16.59482246303182,18.37001327362028,0.41311580518046986,0.007020175835058764,13.057335249637195,0.22188642564696892
2005.0,12.612727965764737,18.43299617888221,0.2340746482301293,0.00436497823046742,7.39838833822034,0.13796369782483373
2006.0,10.68496773587025,18.464991300670412,0.13984190653508283,0.0026572425281774018,4.419977722177282,0.08398736164269643
2007.0,9.699642011884851,18.480094926350574,0.07996931946012618,0.001202387077939987,2.5275871820494737,0.03800380179024019
2008.0,9.202570602794987,18.48801099342198,0.04492203848368859,0.0007343899700920929,1.4198491300094065,0.023211835333374505
2009.0,8.764233172637702,18.495156626207642,0.005657686008024558,0.00035287569979542365,0.1788222624687191,0.011153328572520575
2010.0,-26.923040031588833,17.76128516347229,0.6705343208929748,0.013188763309110434,21.1935523029979,0.41685673095934755
2011.0,-45.74015907796513,17.41063462319559,0.5047799274253034,0.010246191899293634,15.954559610229394,0.3238509904087269
2012.0,-54.97564523135164,17.225018410310025,0.3405318198495759,0.006911714962138787,10.763176037291872,0.21845830703851782
2013.0,-59.412757009199794,17.132205675132614,0.2239689669103217,0.004259709642802673,7.078978460253845,0.13463647765277093
2014.0,-61.81614847732599,17.086464109103073,0.13800163611611108,0.0028122530525540646,4.361812366339572,0.0888867732813384
2015.0,-62.96436602904765,17.063230184316144,0.08160516082515129,0.0018248042753870805,2.5792911566989694,0.057676518036610856
2016.0,-63.592806854801154,17.052596528406536,0.04842269088204768,0.0014117799055506485,1.5304941147440212,0.044622072780350325
2017.0,-64.12719827251523,17.04088878586836,0.017704380260905286,0.0010215388675696474,0.559581661013216,0.032287739411385276
2018.0,-63.62952331982692,16.570878956472956,0.017218639754910975,0.008914444188308166,0.5442288796585415,0.2817584921014356
2019.0,-63.40366012713857,16.329431846776387,0.01643053194851017,0.006793900880733636,0.519319186754064,0.21473456193183257
2020.0,-63.167391047526074,16.083477764632494,0.017150213137951318,0.0009392177708414043,0.5420661222272435,0.029685819696333673
2021.0,-61.91459738843571,15.560805072085131,0.027140767862121804,0.009531453958832417,0.8578371983456058,0.30126029601454757
